,State,Region,iPhone Sales (in million units),iPad Sales (in million units),Mac Sales (in million units),Wearables (in million units),Services Revenue (in billion $)
877,Thailand,Rest of Asia,7.62,2.9,8.03,6.36,18.76
878,Shenzhen,Greater China,29.78,9.05,2.12,8.13,14.84
879,Germany,Europe,10.91,10.81,4.13,3.53,7.12
880,Spain,Europe,11.49,12.75,5.24,7.87,15.15
881,New York,North America,13.06,9.02,8.62,4.75,10.67
882,Japan,Rest of Asia,24.19,6.45,5.85,4.44,7.98
883,New York,North America,5.07,5.37,5.42,5.93,17.85
884,Shenzhen,Greater China,9.49,11.72,7.92,10.65,14.17
885,UK,Europe,18.4,11.23,5.62,6.55,18.63
886,Canada,Rest of World,7.13,4.08,9.95,3.83,6.65
887,France,Europe,18.51,4.76,5.86,4.37,11.27
888,Florida,North America,16.91,2.57,2.81,11.64,15.72
889,New York,North America,17.59,6.79,9.3,9.43,8.24
890,South Korea,Rest of Asia,23.96,10.39,4.68,5.29,19.3
891,South Korea,Rest of Asia,14.37,12.97,3.13,11.55,17.48
892,Spain,Europe,6.94,12.76,4.19,3.42,16.43
893,Chongqing,Greater China,23.73,6.13,2.23,11.98,17.5
894,India,Rest of Asia,16.42,7.73,6.32,5.84,8.96
895,Japan,Rest of Asia,16.1,9.07,3.53,8.29,12.44
896,Hong Kong,Greater China,21.72,14.38,9.94,9.46,6.85
897,Indonesia,Rest of Asia,24.97,2.58,4.58,2.75,11.69
898,Hong Kong,Greater China,10.77,11.59,4.5,11.1,12.34
899,UK,Europe,21.97,7.99,5.25,10.71,5.49
900,Shenzhen,Greater China,21.41,7.94,7.51,7.59,6.69
901,Spain,Europe,7.41,13.94,3.08,8.59,10.45
902,California,North America,19.52,14.03,1.78,11.42,10.07
903,Shenzhen,Greater China,26.36,9.42,2.71,5.89,12.52
904,India,Rest of Asia,7.63,7.71,1.87,11.06,7.86
905,France,Europe,5.38,7.87,3.97,8.67,12.21
906,Brazil,Rest of World,23.61,12.9,7.46,3.22,8.49
907,France,Europe,7.69,5.9,8.0,8.95,8.4
908,New York,North America,11.1,11.74,5.19,3.84,12.36
909,Hong Kong,Greater China,9.26,4.22,8.55,2.49,16.18
910,Australia,Rest of World,19.25,14.0,6.24,8.39,7.07
911,Chongqing,Greater China,7.78,13.96,9.6,5.99,14.94
912,Italy,Europe,29.34,10.15,7.6,7.77,9.61
913,Shanghai,Greater China,22.67,4.42,8.99,10.48,16.31
914,Brazil,Rest of World,23.81,5.62,1.76,10.66,11.28
915,Italy,Europe,10.08,2.22,6.47,5.64,15.84
916,Texas,North America,20.03,14.67,6.11,5.5,6.57
917,South Africa,Rest of World,8.33,3.74,3.73,11.43,18.52
918,Japan,Rest of Asia,20.18,2.97,1.92,6.81,16.63
919,South Korea,Rest of Asia,29.55,10.53,3.18,10.37,14.14
920,Australia,Rest of World,7.51,8.86,6.5,4.4,12.16
921,California,North America,26.7,2.17,5.35,7.11,19.32
922,South Korea,Rest of Asia,17.1,2.89,6.55,6.37,5.73
923,UK,Europe,20.6,11.67,7.52,10.41,8.78
924,California,North America,12.39,11.66,5.22,3.79,7.08
925,Italy,Europe,24.51,11.2,4.99,11.16,18.53
926,South Africa,Rest of World,11.71,6.5,2.31,8.96,15.49
927,Spain,Europe,25.94,13.46,7.85,4.53,6.54
928,Chongqing,Greater China,8.41,13.24,3.29,3.42,10.9
929,Canada,Rest of World,12.64,9.24,5.66,9.02,11.24
930,Thailand,Rest of Asia,9.97,5.99,3.0,8.72,18.74
931,France,Europe,20.52,6.28,1.4,5.91,12.62
932,Australia,Rest of World,20.07,3.79,5.48,2.18,11.54
933,Brazil,Rest of World,29.78,8.86,7.67,9.97,8.13
934,Australia,Rest of World,27.78,9.02,4.87,7.86,13.78
935,South Korea,Rest of Asia,25.44,6.14,3.27,11.42,5.68
936,Spain,Europe,11.76,8.22,4.59,4.4,11.02
937,UK,Europe,13.04,7.61,9.17,8.64,15.66
938,South Korea,Rest of Asia,13.64,4.77,6.75,4.91,12.96
939,Japan,Rest of Asia,29.41,12.0,3.97,6.26,9.76
940,California,North America,22.03,6.98,2.8,6.93,8.24
941,Germany,Europe,8.22,3.25,1.69,7.56,8.69
942,Chongqing,Greater China,17.76,7.25,5.89,11.88,10.28
943,France,Europe,13.46,4.98,2.01,3.83,15.15
944,Florida,North America,22.8,8.65,7.46,2.29,5.58
945,New York,North America,9.77,8.79,7.75,10.52,6.65
946,South Korea,Rest of Asia,22.64,3.23,6.59,11.29,14.06
947,Australia,Rest of World,23.39,9.86,9.58,7.3,5.48
948,Indonesia,Rest of Asia,24.63,2.27,9.96,5.64,7.81
949,Illinois,North America,20.57,5.61,1.93,6.81,15.81
950,Mexico,Rest of World,6.78,3.13,7.16,4.05,16.28
951,Shanghai,Greater China,14.13,3.5,5.99,2.34,17.03
952,Illinois,North America,15.45,9.46,9.27,9.0,17.24
953,India,Rest of Asia,15.81,12.63,5.61,9.7,11.72
954,California,North America,11.59,12.97,3.38,9.7,9.79
955,Canada,Rest of World,6.61,5.0,3.43,5.28,13.28
956,Canada,Rest of World,21.71,4.92,9.39,4.98,6.41
957,France,Europe,6.74,14.54,6.45,7.65,9.36
958,France,Europe,19.49,2.05,4.03,10.59,12.4
959,Brazil,Rest of World,15.8,7.83,1.76,10.19,5.08
960,Japan,Rest of Asia,13.83,8.04,7.56,2.75,16.86
961,Canada,Rest of World,13.53,10.82,9.9,9.41,11.22
962,Germany,Europe,13.38,7.45,7.5,2.06,8.09
963,Florida,North America,26.52,13.91,7.2,10.97,15.44
964,Thailand,Rest of Asia,28.39,13.35,3.05,3.21,19.09
965,Indonesia,Rest of Asia,19.84,3.88,4.59,5.48,15.72
966,Florida,North America,11.65,4.34,3.34,8.37,6.42
967,Chongqing,Greater China,16.2,14.28,9.08,5.99,16.62
968,Canada,Rest of World,9.95,4.11,8.35,5.0,9.66
969,Spain,Europe,20.1,11.33,8.29,2.79,10.08
970,Spain,Europe,25.66,3.96,6.59,7.92,9.34
971,Illinois,North America,26.54,6.63,3.27,5.12,9.28
972,South Africa,Rest of World,14.1,2.74,1.18,5.59,17.91
973,South Korea,Rest of Asia,29.74,11.58,1.09,6.59,9.26
974,South Africa,Rest of World,29.23,12.58,3.74,5.14,8.33
975,UK,Europe,26.75,10.88,1.18,3.21,13.62
976,Brazil,Rest of World,23.09,14.03,3.91,3.71,11.27
977,Japan,Rest of Asia,23.96,13.9,5.41,2.61,9.37
978,Canada,Rest of World,13.19,7.41,1.53,6.82,11.1
979,New York,North America,16.49,3.32,9.93,7.99,7.06
980,Shanghai,Greater China,11.01,11.05,3.33,11.64,11.95
981,Canada,Rest of World,11.1,11.75,4.67,9.83,14.83
982,India,Rest of Asia,7.66,3.64,4.58,2.13,18.12
983,Japan,Rest of Asia,27.01,4.18,7.22,5.98,17.18
984,California,North America,19.67,13.0,4.21,10.37,13.28
985,India,Rest of Asia,16.08,6.56,4.02,9.12,13.3
986,Spain,Europe,11.44,10.35,7.89,11.39,16.72
987,Illinois,North America,21.51,5.46,4.09,6.08,19.01
988,Shanghai,Greater China,20.2,14.54,2.52,6.01,9.31
989,Hong Kong,Greater China,10.43,5.2,7.81,4.78,18.99
990,Spain,Europe,22.06,10.18,5.9,5.59,12.13
991,Illinois,North America,9.31,7.82,6.97,4.82,13.51
992,Beijing,Greater China,7.2,12.62,3.97,9.87,10.02
993,Indonesia,Rest of Asia,16.45,7.49,7.28,9.59,16.33
994,Japan,Rest of Asia,14.29,14.91,3.08,6.21,17.89
995,Mexico,Rest of World,29.86,10.3,7.4,9.6,18.56
996,Texas,North America,27.83,12.52,8.89,4.46,6.38
997,Germany,Europe,25.47,7.69,7.9,6.9,15.0
998,Shenzhen,Greater China,15.34,8.81,8.24,8.78,15.49
999,Shanghai,Greater China,26.3,4.06,3.41,5.69,14.29
